Repository Name,Repository_ID,Provider,Consortium,Number of Records,Text,Identifiers,Connections,Contacts,Total,2025-05,Change,,,,
European Radiation Dosimetry Group e.V. (EURADOS),wfnq.ggqyxk,wfnq,zbmedco,45,66%,28%,19%,0%,30%,31%,-1%,,,,
Max Rubner-Institut  – Bundesforschungsinstitut für Ernährung und Lebensmittel,zbmed.mri,zbmed,zbmedco,55,61%,27%,16%,10%,29%,29%,0%,,,,
"Environmental Research Institute, Faculty of Science & Engineering, University of Waikato, New Zealand",zbmed.lernzdb,zbmed,zbmedco,1193,67%,17%,17%,10%,28%,28%,0%,,,,
Staatliche Naturwissenschaftliche Sammlungen Bayerns,zbmed.snsb,zbmed,zbmedco,6,61%,26%,13%,7%,28%,28%,0%,,,,
"Project BioFresh, Leibniz-Institute of Freshwater Ecology and Inland Fisheries",zbmed.biofresh,zbmed,zbmedco,30,68%,13%,18%,10%,27%,27%,0%,,,,
DZNE Pub,dzne.bykahu,dzne,zbmedco,12,64%,26%,13%,1%,27%,27%,0%,,,,
Zoologisches Forschungsmuseum Alexander Koenig - Leibniz-Institut für Biodiversität der Tiere,zbmed.zfmk,zbmed,zbmedco,300,58%,19%,15%,16%,27%,26%,1%,,,,
Deutsches Krebsforschungszentrum,zbmed.dkfz,zbmed,zbmedco,5,52%,37%,8%,0%,26%,26%,0%,,,,
Bundesinstitut für Risikobewertung Fachgruppe ZEBET - Datenbank und Informationsbeschaffung Abteilung Experimentelle Toxikologie und ZEBET,zbmed.bfr,zbmed,zbmedco,635,55%,18%,21%,4%,26%,26%,0%,,,,
German Medical Science,zbmed.gms,zbmed,zbmedco,10000,60%,17%,17%,0%,25%,25%,0%,,,,
Bundesamt für Strahlenschutz,zbmed.bfs,zbmed,zbmedco,388,63%,25%,6%,0%,25%,25%,0%,,,,
PUBLISSO,zbmed.publisso,zbmed,zbmedco,1052,60%,16%,12%,9%,24%,24%,1%,,,,
Kuratorium für Technik und Bauwesen in der Landwirtschaft e. V. (KTBL),zbmed.ktbl,zbmed,zbmedco,2138,47%,22%,16%,10%,24%,24%,0%,,,,
Onkološki inštitut Ljubljana / Institute of Oncology Ljubljana,zbmed.oi,zbmed,zbmedco,130,48%,20%,16%,10%,24%,24%,0%,,,,
Botanischer Garten und Botanisches Museum Berlin,zbmed.bgbm,zbmed,zbmedco,11,55%,18%,16%,4%,24%,24%,0%,,,,
Verein zur Förderung des biologisch technologischen Fortschritts in der Medizin e.V.,zbmed.diagnomx,zbmed,zbmedco,202,48%,22%,11%,9%,23%,23%,0%,,,,
"International Center for Food Chain and Network Research, Rheinische Friedrich Wilhelms-Universität Bonn",zbmed.ijsfd,zbmed,zbmedco,1005,49%,21%,13%,3%,23%,23%,0%,,,,
Psychometrikon,zbmed.psymet,zbmed,zbmedco,90,55%,11%,17%,0%,22%,22%,0%,,,,
Universitäts- und Landesbibliothek Sachsen-Anhalt,zbmed.ulbhalle,zbmed,zbmedco,10000,50%,15%,14%,4%,22%,25%,-3%,,,,
Aktionsb�ndnis Patientensicherheit e.V.,zbmed.aps,zbmed,zbmedco,40,58%,14%,11%,0%,22%,21%,0%,,,,
"Verband für lesbische, schwule, bisexuelle, trans*, intersexuelle und queere Menschen in der Psychologie (VLSP)",zbmed.vlsp,zbmed,zbmedco,11,55%,16%,11%,0%,21%,21%,0%,,,,
Oroboros Instruments,zbmed.oroboros,zbmed,zbmedco,238,46%,18%,9%,13%,21%,21%,0%,,,,
Leibniz-Institut für Arbeitsforschung an der TU Dortmund (IfADo),zbmed.ifado,zbmed,zbmedco,1455,51%,11%,17%,6.87E-05,21%,21%,0%,,,,
Bundesanstalt für Landwirtschaft und Ernährung,zbmed.ble,zbmed,zbmedco,739,47%,20%,10%,1%,21%,20%,0%,,,,
Sigmund Freud PrivatUniversität Wien (SFU),zbmed.sfuwien,zbmed,zbmedco,428,46%,21%,10%,0%,21%,20%,1%,,,,
Museum für Naturkunde Berlin - Leibniz-Institut für Evolutions- und Biodiversitätsforschung,zbmed.mfn,zbmed,zbmedco,478,55%,10%,9%,7%,20%,20%,0%,,,,
Universitätsbibliothek Regensburg,zbmed.pf,zbmed,zbmedco,10000,58%,15%,6%,0%,20%,21%,-1%,,,,
Fachrepositorium Lebenswissenschaften,zbmed.ellinet,zbmed,zbmedco,10000,48%,18%,11%,0%,20%,19%,1%,,,,
Universität Würzburg,zbmed.jmuw,zbmed,zbmedco,907,46%,10%,20%,0%,20%,20%,0%,,,,
Zentralinstitut für die kassenärztliche Versorgung in der Bundesrepublik Deutschland (Zi),zbmed.zi,zbmed,zbmedco,147,54%,13%,11%,0%,20%,20%,0%,,,,
Deutsche Schmerzgesellschaft e.V.,zbmed.dgss,zbmed,zbmedco,1,53%,6%,17%,0%,20%,20%,0%,,,,
ZB MED Blog,kydj.kjryeq,kydj,zbmedco,76,42%,20%,9%,3%,19%,19%,0%,,,,
Ärztliches Zentrum für Qualität in der Medizin,zbmed.aezq,zbmed,zbmedco,507,53%,7%,11%,0%,18%,18%,0%,,,,
Deutsche Sporthochschule Köln,zbmed.dshs,zbmed,zbmedco,170,44%,13%,10%,5%,18%,19%,0%,,,,
Institut für Qualität und Wirtschaftlichkeit im Gesundheitswesen,iqwig.crlntk,iqwig,zbmedco,691,53%,12%,6%,0%,18%,18%,0%,,,,
BacDive,zbmed.dsmz,zbmed,zbmedco,10000,53%,11%,6%,0%,18%,18%,0%,,,,
eyeMoviePedia,zbmed.emp,zbmed,zbmedco,77,46%,11%,11%,0%,18%,18%,0%,,,,
Senckenberg Data & Metadata Repository,tib.bikf,tib,zbmedco,37,56%,8%,6%,0%,18%,18%,0%,,,,
Senckenberg Museum für Naturkunde Görlitz,zbmed.smng,zbmed,zbmedco,167,46%,13%,7%,3%,18%,15%,2%,,,,
Leibniz Centre for Tropical Marine Research (ZMT),gesis.zmt,gesis,zbmedco,23,48%,10%,6%,0%,16%,16%,0%,,,,
"HEE Journal - The Journal of Health, Environment, and Education",zbmed.forges,zbmed,zbmedco,22,44%,13%,6%,0%,16%,16%,0%,,,,
GIQS (Grenz�berschreitende Integrierte Qualit�tssicherung e.V.),zbmed.giqs,zbmed,zbmedco,15,41%,13%,7%,0%,16%,16%,0%,,,,
"HITS gGmbH, Heidelberger Institut für Theoretische Studien",zbmed.hits,zbmed,zbmedco,307,42%,13%,6%,0%,16%,16%,0%,,,,
Gartenbau-Informationssystem hortigate Ein Angebot des Zentralverbandes Gartenbau e.V. (ZVG),zbmed.hortigat,zbmed,zbmedco,24,43%,8%,6%,0%,15%,15%,0%,,,,
ANeT (Network for the study of Asian Ants),zbmed.anet,zbmed,zbmedco,197,46%,5%,6%,0%,14%,14%,0%,,,,
Hochschule f�r angewandte Wissenschaften Neu-Ulm Fakult�t Gesundheitsmanagement,zbmed.zfpg,zbmed,zbmedco,49,40%,6%,7%,0%,14%,14%,0%,,,,
Österreichische Gesellschaft für Entomofaunistik (OEGEF),zbmed.oegef,zbmed,zbmedco,541,40%,2%,6%,0%,12%,12%,0%,,,,
Weizmann Institute of Science Institutional Repository,weizmann.ir,weizmann,zixd,791,43%,17%,15%,9%,22%,22%,0%,,,,
NIFS,rpht.nifs,rpht,,10000,87%,83%,28%,10%,56%,54%,2%,,,,
EarthEnv,ktsw.aezvvv,ktsw,,1,80%,67%,33%,30%,54%,52%,2%,,,,
BioMemory,rpak.tjjamp,rpak,,34,80%,78%,21%,31%,54%,,,,,,
RISIS_CNR,rpak.hpgbbj,rpak,,2,80%,72%,25%,30%,53%,53%,0%,,,,
The Chandra Data Archive,si.cda,si,,10000,87%,39%,42%,30%,50%,49%,1%,,,,
ITINERIS HUB,rpak.xfluxo,rpak,,10,87%,64%,17%,22%,49%,45%,4%,,,,
Build Environment Data_Experiments,alhd.bed,alhd,,51,86%,68%,20%,10%,49%,48%,1%,,,,
IT-IOOS,rpak.rrhuff,rpak,,10,78%,55%,22%,40%,49%,,,,,,
FAIR Workflows,datacite.eqhrgl,datacite,,1,87%,61%,22%,10%,48%,48%,0%,,,,
Research Data Management,dlr.iw-rdm,dlr,,1,67%,44%,33%,40%,46%,44%,2%,,,,
ADDI,skud.addi,skud,,1,73%,61%,17%,30%,46%,46%,0%,,,,
Pew Research Center,nafp.wxltsd,nafp,,37,79%,59%,17%,10%,44%,41%,2%,,,,
Project Tycho,pitt.tycho,pitt,,600,84%,44%,28%,10%,43%,43%,1%,,,,
Earth Observing Laboratory,ucar.eol,ucar,,8808,69%,30%,39%,37%,43%,37%,7%,,,,
HEMI IGSN,jhu.hemi-igsn,jhu,,777,67%,78%,11%,0%,43%,,,,,,
Eastern Washington University Repository,jwrm.zsaftk,jwrm,,1,67%,72%,11%,10%,43%,,,,,,
UNCA RD 25-002,wlhf.psbola,wlhf,,1,73%,72%,11%,0%,43%,43%,0%,,,,
CUAHSI,ckco.daxvbr,ckco,,1919,77%,50%,21%,9%,41%,,,,,,
Purdue University Research Repository,purdue.purduelib,purdue,,2075,65%,42%,30%,25%,41%,24%,17%,,,,
Metadata Game Changers,sjyq.oozvia,sjyq,,20,64%,59%,14%,22%,41%,43%,-1%,,,,
Eucentre Data,alhd.eucentre,alhd,,1,73%,56%,17%,10%,41%,41%,0%,,,,
ROADMAP,alhd.roadmap,alhd,,4,87%,54%,13%,0%,41%,41%,0%,,,,
KU Leuven Research Infrastructures and Services,brvz.awlzti,brvz,,1,80%,50%,22%,0%,41%,39%,2%,,,,
DRI,nuxp.txeilh,nuxp,,1,73%,56%,22%,0%,41%,,,,,,
FAIRhub,ombh.fairhub,ombh,,4,80%,33%,33%,10%,41%,41%,0%,,,,
ReMoTe Data Repository,rpak.rbwahs,rpak,,4,80%,50%,22%,0%,41%,,,,,,
Owens Valley Radio Observatory,caltech.ovro,caltech,,107,80%,49%,22%,0%,41%,43%,-2%,,,,
DLR Institute of Flight Systems,dlr.ft,dlr,,10,71%,59%,18%,0%,40%,43%,-2%,,,,
SLAPIS,rpak.uqbrbz,rpak,,1,67%,56%,17%,10%,39%,39%,0%,,,,
UNCA RD 25-001,wlhf.jyomep,wlhf,,1,67%,67%,11%,0%,39%,39%,0%,,,,
Illinois Data Bank,illinois.databank,illinois,,1159,62%,38%,25%,30%,39%,40%,-1%,,,,
Idiap Research Institute - Main Repository,idiap.idiap,idiap,,137,70%,58%,12%,6%,39%,37%,2%,,,,
RADAR4KIT,tib.kit4radar,tib,,3532,62%,27%,33%,35%,38%,38%,0%,,,,
TERENO Data Portal,fzj.tereno,fzj,,22,75%,30%,18%,36%,38%,37%,1%,,,,
PSC Anton Data Repository,psc.anton,psc,,18,67%,52%,16%,10%,38%,39%,-1%,,,,
National Ecological Observatory Network,neon.prod,neon,,637,80%,35%,24%,8%,38%,38%,0%,,,,
Biological and Chemical Oceanography Data Management Office,bbwx.rrtjge,bbwx,,2835,77%,38%,16%,19%,38%,,,,,,
University of Cincinnati Figshare,cin.fig,cin,,2,80%,39%,17%,10%,38%,38%,0%,,,,
KAPSARC Models,angz.vftgfr,angz,,39,65%,56%,12%,9%,38%,38%,0%,,,,
Sistema de Información de Biodiversidad de Ecuador SiB-Ec,gbif.ec,gbif,,125,79%,21%,28%,23%,38%,38%,-1%,,,,
NGRI Geomagnetism,bcrp.clczbz,bcrp,,150,72%,61%,6%,0%,37%,37%,0%,,,,
CaltechDATA,caltech.data,caltech,,10000,76%,37%,21%,8%,37%,37%,1%,,,,
Infraestructura Mundial de Información en Biodiversidad,csic.gbif,csic,,365,78%,21%,27%,23%,37%,37%,0%,,,,
Earth System Grid Federation,dkrz.esgf,dkrz,,3008,73%,24%,27%,26%,37%,38%,-1%,,,,
DataverseLV,etoe.bzcums,etoe,,37,67%,26%,37%,10%,37%,,,,,,
FAIR² Data Portals,oiad.zxskxz,oiad,,3,71%,35%,24%,10%,37%,44%,-8%,,,,
ROR Blog,datacite.ror,datacite,,94,66%,41%,22%,10%,36%,36%,0%,,,,
LBS Publishing,lbs.pub,lbs,,167,73%,45%,17%,0%,36%,35%,2%,,,,
SiB Colombia - GBIF Colombia,gbif.co,gbif,,3600,79%,19%,28%,18%,36%,36%,0%,,,,
Trase Insights,mgwy.uzskxi,mgwy,,93,74%,44%,11%,10%,36%,35%,1%,,,,
EDP Metadata Catalogue - Eurac Research,qjdr.hiukbn,qjdr,,61,77%,41%,14%,6%,36%,36%,0%,,,,
NSF Seismological Facility for the Advancement of Geoscience (SAGE),iris.iris,iris,,10000,40%,50%,17%,40%,36%,10%,26%,,,,
PARADIM Data Collective,jhu.paradim,jhu,,79,64%,50%,13%,9%,36%,35%,1%,,,,
MBLWHOI Library Dataverse,wh.dataverse,wh,,19,62%,29%,35%,10%,36%,,,,,,
Ocean Observatories Initiative Data,hain.njltcl,hain,,75,79%,50%,6%,0%,36%,37%,-2%,,,,
Antarctic Meteorological Research and Data Center Repository,wisc.amrdc,wisc,,5447,66%,55%,11%,0%,36%,36%,0%,,,,
Tufts Digital Library,axgg.llfupf,axgg,,13,67%,42%,18%,8%,36%,35%,1%,,,,
OBIS-SEAMAP,kmot.obis,kmot,,1303,77%,16%,35%,9%,36%,,,,,,
Virus Pathogen Resource,jcvi.eivbwb,jcvi,,26,67%,36%,16%,24%,36%,36%,0%,,,,
Institute of Seismology University of Helsinki,nlqq.crguin,nlqq,,3,62%,46%,11%,20%,36%,36%,-1%,,,,
Influenza Research Database,jcvi.gxpwaq,jcvi,,47,67%,35%,15%,25%,35%,35%,0%,,,,
Arcadia Science,anbe.sfiyeb,anbe,,98,61%,40%,23%,10%,35%,24%,11%,,,,
KU Leuven RDR,brvz.rdr,brvz,,643,67%,21%,36%,10%,35%,35%,0%,,,,
ADC,rpak.zvtsqh,rpak,,4,52%,50%,13%,23%,35%,,,,,,
Marine Geoscience Data System (MGDS) - Lamont-Doherty Earth Observatory (LDEO),cul.mgds,cul,,749,75%,26%,24%,10%,35%,34%,1%,,,,
New York University UltraViolet Data and Software Repository,nyu.frityn,nyu,,141,70%,40%,13%,9%,34%,36%,-1%,,,,
Neotoma Paleoecological Database,wisc.neotoma,wisc,,10000,68%,31%,24%,10%,34%,33%,2%,,,,
Redivis,chvf.pbyfos,chvf,,2,60%,53%,14%,0%,34%,36%,-2%,,,,
JPL Library,jams.lib,jams,,3,69%,50%,9%,0%,34%,34%,1%,,,,
Repositorio Digital UPCT,lcch.sgbnja,lcch,,2,67%,36%,19%,10%,34%,,,,,,
National Bureau of Economic Research - Public Use Data Archive,nmam.etlyvf,nmam,,2,60%,50%,14%,5%,34%,34%,0%,,,,
Allen Institute of Brain Science,ohmd.aibs,ohmd,,3,62%,56%,7%,3%,34%,,,,,,
Open Digital Epigraphy Hub,rpak.uuchyp,rpak,,107,60%,50%,11%,10%,34%,,,,,,
Heritage - Semantic Tools and Interoperability Survey,rpak.nhdmpx,rpak,,186,60%,50%,11%,10%,34%,34%,0%,,,,
ALBA Synchrotron,ldgx.alba,ldgx,,215,83%,32%,11%,5%,34%,28%,6%,,,,
SiBBr - GBIF Brazil,gbif.br,gbif,,95,77%,17%,28%,13%,34%,34%,0%,,,,
Stanford Data Farm,sul.swbvyu,sul,,688,60%,35%,25%,9%,34%,34%,0%,,,,
NSF Geodetic Facility for the Advancement of Geoscience (GAGE),unavco.unavco,unavco,,6364,44%,38%,17%,40%,34%,13%,20%,,,,
Hyku Commons,uhjx.hyku,uhjx,,29,63%,46%,11%,9%,34%,35%,-2%,,,,
LRZ LTDS InvenioRDM,lmu.physics,lmu,,34,60%,36%,16%,19%,33%,34%,-1%,,,,
Eurac Research Publications,qjdr.umltof,qjdr,,100,56%,45%,15%,10%,33%,33%,0%,,,,
SOCIB,csic.socib,csic,,49,68%,38%,15%,5%,33%,30%,3%,,,,
DataverseNL,dans.dataversenl,dans,,9824,61%,23%,33%,10%,33%,20%,13%,,,,
EarthChem Library,xaqp.jamqzm,xaqp,,1998,76%,19%,24%,10%,33%,33%,0%,,,,
Italian Arctic Data Center,rpak.kirbro,rpak,,30,85%,23%,12%,10%,33%,27%,6%,,,,
Small Bodies Node SBN of NASA's Planetary Data System (PDS)- Archives,sbn.archive,sbn,,10000,67%,33%,17%,10%,33%,31%,2%,,,,
"Richter Library, University of Miami",uml.richter,uml,,66,63%,40%,15%,5%,33%,31%,2%,,,,
ARC Study,bbge.bqcfme,bbge,,1,60%,56%,6%,0%,33%,,,,,,
AT-Turbine,dlr.at-tur,dlr,,17,61%,51%,9%,0%,33%,32%,1%,,,,
Institut für Systemleichtbau,dlr.sy-lin,dlr,,2,60%,50%,11%,0%,33%,32%,1%,,,,
DLR-TS Railway Technologies,dlr.ts-ssc,dlr,,3,60%,56%,6%,0%,33%,,,,,,
IFASD,nhse.ifasd,nhse,,173,66%,49%,6%,0%,33%,,,,,,
HISST,nhse.hisst,nhse,,108,66%,49%,6%,0%,32%,,,,,,
China Geological Survey,tsinghua.ngac,tsinghua,,194,83%,16%,20%,6%,32%,32%,0%,,,,
Ohio Supercomputer Center,oeuq.jmmure,oeuq,,3,58%,56%,6%,0%,32%,,,,,,
SupraBank,tib.suprabank,tib,,494,52%,32%,28%,10%,32%,34%,-2%,,,,
Sano Dataverse,azgb.sanodv,azgb,,2,63%,17%,33%,10%,32%,34%,-2%,,,,
eMammal,si.emammal,si,,2,70%,36%,8%,10%,32%,31%,1%,,,,
ATML Accelerating Devices,fzj.xdev,fzj,,25,61%,36%,16%,10%,32%,33%,-1%,,,,
Figshare for Institutions,si.figshare,si,,5308,69%,28%,17%,10%,32%,32%,0%,,,,
ScienceDB,cnic.sciencedb,cnic,,10000,73%,24%,18%,9%,32%,31%,1%,,,,
Lloyd's Register Foundation,gkyh.mengzi,gkyh,,70,53%,38%,21%,10%,32%,33%,-1%,,,,
University of Melbourne data repository,unimelb.repo1,unimelb,,8255,71%,26%,17%,10%,32%,31%,1%,,,,
JCMS,wnrh.flvpzn,wnrh,,18,60%,41%,11%,10%,32%,,,,,,
iPlaces-Kotahi,sjyq.omytlw,sjyq,,116,55%,54%,7%,2%,32%,33%,-1%,,,,
DiSSCo,ylqb.ybhfwy,ylqb,,10000,53%,48%,13%,3%,32%,32%,0%,,,,
Kinder Institute Urban Data Platform,rice.kinder,rice,,403,80%,12%,25%,7%,31%,31%,0%,,,,
DANS Data Stations,dans.archive,dans,,10000,59%,15%,37%,8%,31%,16%,15%,,,,
Digital Commons@Becker,wustl.becker-ir,wustl,,43,65%,45%,6%,1%,31%,30%,1%,,,,
JACOW,cern.jacow,cern,,10000,67%,22%,22%,10%,31%,31%,0%,,,,
COMET,datacite.comet,datacite,,1,47%,39%,22%,10%,31%,,,,,,
DLR Institute of Low-Carbon Industrial Processes,dlr.di-htp,dlr,,1,47%,50%,11%,10%,31%,,,,,,
Illinois Data Bank Demonstration,illinois.demo,illinois,,1,47%,22%,22%,40%,31%,31%,0%,,,,
EAWAG Research Data Management,eawag.rdm,eawag,,399,70%,27%,14%,10%,31%,31%,0%,,,,
World Historical Gazetteer,pitt.whg,pitt,,112,66%,28%,16%,10%,31%,31%,0%,,,,
Caltech Library,caltech.library,caltech,,10000,63%,31%,20%,0%,31%,30%,0%,,,,
USC Dataverse Repository,usc.dataverse,usc,,3,60%,15%,33%,10%,31%,,,,,,
"LDEO - Lamont-Doherty Earth Observatory, Columbia University",tib.ldeo,tib,,9942,64%,26%,20%,8%,31%,25%,6%,,,,
Brain Image Library,psc.bil,psc,,1001,59%,37%,17%,0%,30%,30%,0%,,,,
LBS Research Online,lbs.lbs,lbs,,253,59%,34%,20%,0%,30%,29%,1%,,,,
4TU.ResearchData,delft.data4tu,delft,,10000,67%,25%,17%,10%,30%,30%,0%,,,,
World Data Center for Climate,dkrz.wdcc,dkrz,,3948,68%,15%,26%,9%,30%,30%,0%,,,,
The Human BioMolecular Atlas Program (HuBMAP) Reference Repository,psc.hubmap-ref,psc,,661,60%,27%,20%,10%,30%,28%,2%,,,,
SAEON Data Centre,nrf.saeon,nrf,,6732,66%,18%,24%,10%,30%,28%,2%,,,,
Deutsches Zentrum für Luft- und Raumfahrt,tib.dlr-eoc,tib,,48,65%,34%,10%,7%,30%,29%,1%,,,,
CoMSES Computational Model Library,comses.cml,comses,,398,55%,36%,17%,5%,30%,30%,0%,,,,
Columbia University Data Platform,cul.cuit,cul,,949,54%,39%,17%,0%,30%,31%,-1%,,,,
PANGAEA,pangaea.repository,pangaea,,10000,68%,14%,25%,10%,30%,30%,0%,,,,
Dagstuhl Research Online Publication Server,lzi.drops,lzi,,10000,64%,14%,28%,10%,30%,28%,2%,,,,
arXiv,arxiv.content,arxiv,,10000,60%,28%,17%,10%,30%,30%,0%,,,,
NESAR,ihon.yuiwpt,ihon,,6,67%,28%,11%,10%,30%,,,,,,
Scholars' Mine,izte.jhjxno,izte,,4,58%,39%,11%,3%,30%,27%,2%,,,,
NYU Data Catalog,nyu.hsldatacat,nyu,,1,60%,44%,6%,0%,30%,28%,2%,,,,
College of Science,rit.cos,rit,,1,60%,28%,17%,10%,30%,30%,0%,,,,
Golisano College of Computing and Information Sciences,rit.gccis,rit,,1,67%,22%,22%,0%,30%,30%,0%,,,,
USU Pressbooks,uutah.igrfch,uutah,,1,53%,39%,11%,10%,30%,30%,0%,,,,
Red List,azaz.cmxjqd,azaz,,3918,53%,28%,22%,10%,30%,,,,,,
Janelia Research Repository,hlyd.drsthh,hlyd,,5137,67%,22%,17%,10%,29%,29%,0%,,,,
LawAtlas,tul.lawatlas,tul,,61,63%,25%,17%,10%,29%,32%,-2%,,,,
DANDI Archive,dartlib.dandi,dartlib,,465,55%,33%,12%,15%,29%,28%,2%,,,,
DataCite Blog,datacite.blog,datacite,,387,61%,37%,9%,5%,29%,30%,0%,,,,
KartDok - FID Kartographie,shkl.jonxyz,shkl,,851,65%,23%,17%,8%,29%,29%,0%,,,,
Emporion,shkl.vouknq,shkl,,26,61%,27%,16%,8%,29%,29%,0%,,,,
IBHS Research,wiah.bztigv,wiah,,10,47%,48%,11%,0%,29%,,,,,,
Bundesamt für Eich- und Vermessungswesen,ptnc.bev4data,ptnc,,1467,78%,22%,11%,6.82E-05,29%,27%,2%,,,,
Vivli,vivli.search,vivli,,10000,70%,26%,14%,0%,29%,29%,0%,,,,
ALCM,ohzx.alcm,ohzx,,10,60%,32%,11%,9%,29%,,,,,,
Greater South Information System,iapx.bsycxq,iapx,,10000,66%,32%,11%,0%,29%,29%,0%,,,,
JuSER Publikationsportal,fzj.juser,fzj,,7592,58%,25%,14%,18%,29%,28%,1%,,,,
GigaDB,cngb.gigadb,cngb,,5697,52%,30%,19%,10%,29%,23%,6%,,,,
SimTK,sul.simtk,sul,,45,57%,38%,10%,2%,28%,29%,0%,,,,
DataverseNO,vjhc.dataverseno,vjhc,,10000,53%,18%,29%,10%,28%,,,,,,
The Dartmouth Institute,dartlib.tdi,dartlib,,3201,52%,19%,28%,10%,28%,26%,3%,,,,
Sage Journals Data,sage.journals,sage,,10000,66%,15%,20%,10%,28%,28%,0%,,,,
Johns Hopkins University Data Services,jhu.ds,jhu,,11,59%,31%,15%,2%,28%,30%,-2%,,,,
Wisconsin Geological and Natural History Survey,wisc.wgnhs,wisc,,8,53%,46%,6%,0%,28%,18%,10%,,,,
CrossAsia Open Access Repository,shkl.lofhsj,shkl,,485,56%,26%,17%,10%,28%,28%,0%,,,,
ARIM Data Portal,oibk.izccka,oibk,,700,48%,39%,11%,10%,28%,28%,0%,,,,
Laboratory for Atmospheric and Space Physics (LASP),cub.lasp,cub,,2,60%,39%,6%,0%,28%,28%,0%,,,,
RIT Libraries,rit.libraries,rit,,2,47%,44%,8%,5%,28%,,,,,,
LTER-ITALY network Digital Asset Register,rpak.inrgie,rpak,,4,47%,50%,6%,0%,28%,,,,,,
Cellular Senescence Network (SenNet),psc.sennet,psc,,1696,47%,17%,17%,40%,28%,15%,13%,,,,
The Human BioMolecular Atlas Program (HuBMAP),psc.hubmap,psc,,4095,47%,17%,17%,40%,28%,19%,9%,,,,
PIKpublic,gfz.pik,gfz,,99,53%,35%,15%,1%,28%,27%,1%,,,,
Knowledge Commons Works,msu.core,msu,,10000,62%,27%,11%,9%,28%,27%,1%,,,,
IEEE Computer Society,ieee.cs,ieee,,13,53%,44%,6%,0%,28%,28%,0%,,,,
KiltHub Repository,cmu.kilthub,cmu,,10000,66%,17%,17%,10%,28%,28%,0%,,,,
ACHE Institutional Repository,dvcf.vzfuba,dvcf,,8,48%,43%,9%,3%,28%,,,,,,
Institut für Verkehrsforschung,dlr.vf,dlr,,7,49%,43%,9%,3%,28%,,,,,,
DataverseNO - USN,vjhc.usn,vjhc,,2166,57%,12%,28%,10%,28%,,,,,,
Datasets: U.S. International Trade Commission,bybq.gafxif,bybq,,8,53%,40%,8%,0%,27%,28%,0%,,,,
Data Repository for the University of Minnesota,umn.drum,umn,,1129,57%,19%,21%,8%,27%,27%,0%,,,,
International Treaty on Plant Genetic Resources for Food and Agriculture,fao.itpgrfa,fao,,10000,70%,22%,11%,0%,27%,27%,0%,,,,
Software Engineering Institute,cmu.sei,cmu,,186,59%,37%,6%,0%,27%,27%,0%,,,,
TDD Open Archive,fbtk.ogesjv,fbtk,,8,55%,22%,19%,8%,27%,26%,1%,,,,
IntRechtDok,wwpx.intr2,wwpx,,10000,54%,24%,17%,10%,27%,27%,0%,,,,
SlavDok - FID Slavistik,shkl.hvwily,shkl,,559,59%,23%,15%,7%,27%,27%,0%,,,,
Staff Working Papers: U.S. International Trade Commission,bybq.gxgabq,bybq,,202,52%,42%,6%,0%,27%,27%,0%,,,,
DLR.RB-RFT,dlr.rb-rft,dlr,,6,49%,39%,11%,0%,27%,27%,0%,,,,
Global Biodiversity Information Facility,gbif.gbif,gbif,,10000,59%,12%,25%,9%,27%,28%,-1%,,,,
CISER Data & Reproduction Archive,cornell.ciser,cornell,,2009,66%,25%,11%,0%,27%,26%,1%,,,,
PID Services Registry,datacite.services,datacite,,42,66%,29%,6%,0%,27%,26%,0%,,,,
Corpus of Stamp Seals from the Southern Levant,unibe.cssl,unibe,,7899,53%,40%,6%,0%,27%,26%,0%,,,,
DataCite,datacite.datacite,datacite,,89,56%,29%,13%,4%,27%,26%,0%,,,,
Qatar National Library,qnl.figshare,qnl,,4244,66%,11%,18%,10%,27%,27%,0%,,,,
United States Antarctic Program Data Center (USAP-DC),cul.grg,cul,,1151,68%,17%,13%,6%,26%,26%,0%,,,,
Children�s Environmental Health Initiative,rice.cehi,rice,,34,67%,6%,22%,10%,26%,26%,0%,,,,
DRYAD,dryad.dryad,dryad,,10000,53%,26%,14%,10%,26%,24%,3%,,,,
JMWAN,ohzx.jmwan,ohzx,,15,60%,23%,11%,9%,26%,26%,0%,,,,
Open Science Framework,cos.osf,cos,,10000,58%,29%,10%,2%,26%,25%,1%,,,,
Journal of International Commerce and Economics,bybq.dkqfox,bybq,,4,53%,39%,6%,0%,26%,26%,0%,,,,
ColabFit Exchange,kim.colabfit,kim,,417,53%,17%,22%,10%,26%,26%,0%,,,,
Rochester Institute of Technology - Research Computing,rit.rit,rit,,1,53%,39%,6%,0%,26%,26%,0%,,,,
Universit�tsbibliothek RWTH Aachen University,tib.rwth,tib,,1,60%,33%,6%,0%,26%,26%,0%,,,,
Open Access Repository for Dissertations of the University of Bern,unibe.boristheses,unibe,,1002,55%,20%,19%,7%,26%,26%,1%,,,,
Cloudnet collections,nfol.caphpk,nfol,,2262,60%,17%,17%,10%,26%,26%,0%,,,,
UCAR/NCAR,ucar.ucar,ucar,,3171,54%,24%,17%,4%,26%,20%,7%,,,,
AUL,cvtw.xypmwh,cvtw,,51,51%,26%,15%,9%,26%,25%,1%,,,,
RIFSpublic,gfz.iass,gfz,,431,47%,24%,20%,8%,26%,26%,0%,,,,
UKnowledge,uky.lib,uky,,9325,64%,26%,8%,1%,26%,22%,4%,,,,
