Repository Name,Repository_ID,Provider,Consortium,Number of Records,Text,Identifiers,Connections,Contacts,Total,2025-05,Change,,,,
Middlesex University Research Repository,zttd.pvwyco,zttd,blco,12,62%,27%,11%,9%,28%,28%,0%,,,,
Bath Spa University,bl.bathspa,bl,blco,3257,66%,18%,16%,10%,28%,28%,0%,,,,
Heriot-Watt University,bl.hwu,bl,blco,309,53%,18%,25%,12%,28%,28%,0%,,,,
Bureau de Change Laboratory,ygyi.rvjhox,ygyi,blco,7,60%,28%,10%,9%,27%,,,,,,
Queen's University Belfast Research Portal,bl.qub,bl,blco,370,57%,15%,25%,11%,27%,27%,1%,,,,
The Journal of Practice Theory,ygyi.ppljww,ygyi,blco,13,47%,36%,11%,10%,27%,28%,0%,,,,
Marine Institute,bl.marineie,bl,blco,77,64%,19%,15%,5%,27%,26%,1%,,,,
University of Exeter,bl.exeter,bl,blco,391,55%,17%,22%,10%,27%,27%,0%,,,,
University of St Andrews,bl.standrew,bl,blco,4187,55%,19%,22%,7%,26%,26%,0%,,,,
University of Wales Trinity Saint David Research Repository,piri.dkahwp,piri,blco,375,60%,23%,11%,10%,26%,,,,,,
Proceedings of the Lancaster University Education Conference,ygyi.wwxjnd,ygyi,blco,32,54%,27%,11%,10%,26%,26%,0%,,,,
University of Reading,bl.reading,bl,blco,393,55%,24%,13%,10%,26%,26%,0%,,,,
University of Birmingham - eData,bl.bham,bl,blco,805,50%,38%,7%,1%,26%,26%,0%,,,,
Riffs,icjg.ynrfke,icjg,blco,22,58%,34%,6%,0%,26%,,,,,,
Imperial College Research Computing Service Data Repository,bl.imperial,bl,blco,10000,53%,16%,26%,0%,26%,25%,0%,,,,
University of Brighton,bl.brighton,bl,blco,114,57%,18%,16%,9%,25%,25%,0%,,,,
University of South Wales Research Explorer,zwld.biajmw,zwld,blco,156,51%,32%,11%,0%,25%,25%,0%,,,,
Sheffield Hallam University,bl.hallam,bl,blco,103,56%,21%,13%,5%,25%,25%,0%,,,,
University of Surrey Open Research repository,bl.surrey,bl,blco,2253,53%,19%,17%,8%,25%,25%,0%,,,,
World Conservation and Monitoring Centre (WCMC),bl.wcmc,bl,blco,199,54%,27%,10%,3%,25%,24%,1%,,,,
University of Southampton Press,hxhf.ccowqn,hxhf,blco,1,47%,39%,6%,0%,25%,,,,,,
NHSDMetastore,uxlw.gxuchx,uxlw,blco,1,47%,39%,6%,0%,25%,25%,0%,,,,
St Antony's International Review,ylyl.stair,ylyl,blco,2,53%,28%,11%,0%,25%,,,,,,
University of Edinburgh,bl.ed,bl,blco,10000,55%,15%,21%,0%,24%,24%,0%,,,,
Pure Output Records,vhfs.pureor,vhfs,blco,14,52%,34%,6%,0%,24%,25%,0%,,,,
Lincoln repository,bl.lincoln,bl,blco,7263,60%,10%,17%,10%,24%,24%,0%,,,,
University of Bristol,bl.bristol,bl,blco,1454,53%,25%,12%,0%,24%,24%,0%,,,,
National Library of Scotland Research Repository,ytfd.uptwra,ytfd,blco,8,54%,17%,15%,10%,24%,25%,-1%,,,,
UAL Research Online,lbec.dilhot,lbec,blco,112,54%,31%,6%,0%,24%,24%,0%,,,,
Reuters Institute for the Study of Journalism,ylyl.risj,ylyl,blco,164,53%,21%,11%,10%,24%,24%,0%,,,,
Ulster University,bl.ulster,bl,blco,123,52%,20%,14%,8%,24%,25%,-1%,,,,
Apollo,bl.cam,bl,blco,10000,55%,16%,16%,7%,24%,24%,0%,,,,
CERES,eqnn.ceres,eqnn,blco,124,52%,17%,16%,8%,24%,24%,0%,,,,
Edinburgh Napier University,bl.napier,bl,blco,354,53%,31%,6%,0%,24%,23%,0%,,,,
"Royal Botanic Gardens, Kew",bl.rep-kew,bl,blco,470,50%,25%,11%,5%,24%,23%,1%,,,,
Science Museum Group,ytfd.dkxwpw,ytfd,blco,314,54%,18%,10%,10%,23%,24%,0%,,,,
Archaeology Data Service,bl.ads,bl,blco,10000,47%,12%,22%,10%,23%,23%,0%,,,,
Houghton St Press,lcqr.plmezb,lcqr,blco,94,53%,19%,12%,7%,23%,,,,,,
HASP,lxkc.dkwysw,lxkc,blco,13,48%,30%,9%,2%,23%,,,,,,
Keele University,bl.keele,bl,blco,199,49%,26%,10%,4%,23%,23%,0%,,,,
University of Nottingham,bl.notts,bl,blco,1510,59%,12%,16%,4%,23%,23%,0%,,,,
ESC Publications,kbtn.esc,kbtn,blco,38,66%,18%,6%,0%,23%,22%,2%,,,,
University of Hertfordshire Research Archive,bl.herts,bl,blco,1199,54%,16%,16%,3%,23%,24%,-1%,,,,
The Hive Journal,cmuu.hive,cmuu,blco,8,45%,23%,13%,10%,23%,22%,1%,,,,
